code,name,pop_dens,total_pop,country_percentage,fecha,dia_inicio,dia_cuarentena,provincia,ciudad,tot_casosconf,nue_casosconf,tot_fallecidos,transmision_tipo,informe_tipo,fuente
AR-B,Buenos Aires,"44,95",13827203,"38,13",5/03/2020,4,0,Buenos Aires,C_Indeterminada,2,1,2,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/5-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",8/03/2020,7,0,Buenos Aires,C_Indeterminada,10,8,2,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/8-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",10/03/2020,9,0,Buenos Aires,C_Indeterminada,20,1,3,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/10-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",11/03/2020,10,0,Buenos Aires,C_Indeterminada,22,1,4,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/11-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",13/03/2020,9,0,Buenos Aires,C_Indeterminada,34,1,4,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/13-03-20-reporte-diario-covid-19_0.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",15/03/2020,11,0,Buenos Aires,C_Indeterminada,60,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/15032020-nuevo-coronavirus-covid-19_0.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",16/03/2020,12,0,Buenos Aires,C_Indeterminada,69,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/16-03-20-reporte-diario-covid-19_0.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",17/03/2020,13,0,Buenos Aires,C_Indeterminada,70,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",18/03/2020,14,0,Buenos Aires,C_Indeterminada,99,6,6,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/18-03-20_reporte_diario_covid-19_1.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",19/03/2020,15,0,Buenos Aires,C_Indeterminada,115,14,6,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/19-03-20-reporte-diario-covid-19.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",20/03/2020,16,0,Buenos Aires,C_Indeterminada,149,9,7,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/20-03-20_reporte_diario_covid_19_2.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",21/03/2020,17,1,Buenos Aires,C_Indeterminada,203,14,8,transmision local,informe nacional,https://www.argentina.gob.ar/sites/default/files/21-03-20-reporte-diario_covid19.pdf
AR-B,Buenos Aires,"44,95",13827203,"38,13",22/03/2020,18,2,Buenos Aires,C_Indeterminada,246,8,8,transmision local,informe nacional,https://www.argentina.gob.ar/sites/default/files/22-03-20-reporte-diario_covid19.pdf
