code,name,pop_dens,total_pop,country_percentage
AR-B,Provincia de Buenos Aires,"44,95",13827203,"38,13"
AR-C,Ciudad Autónoma de Buenos Aires,"13743,26",2776138,"7,66"
AR-A,Provincia de Salta,"7,81",1522304,"3,03"
AR-X,Provincia de Córdoba,"20,01",3001455,"8,25"
AR-R,Provincia de Río Negro,"3,14",638645,"1,59"
AR-U,Provincia del Chubut,"2,26",618994,"1,27"
AR-Z,Provincia de Santa Cruz,"1,12",273964,"0,68"
AR-K,Provincia de Catamarca,"3,58",367828,"0,92"
AR-S,Provincia de Santa Fe,"24,02",3194537,"7,96"
AR-G,Provincia de Santiago del Estero,"6,41",874006,"2,18"
AR-L,Provincia de La Pampa,"2,22",318951,"0,80"
AR-M,Provincia de Mendoza,"11,68",1738929,"4,33"
AR-H,Provincia del Chaco,"10,59",1055259,"2,63"
AR-Q,Provincia del Neuquén,"5,86",551266,"1,37"
AR-F,Provincia de La Rioja,"3,72",333642,"0,83"
AR-J,Provincia de San Juan,"7,59",681055,"1,70"
AR-W,Provincia de Corrientes,"11,25",992595,"2,47"
AR-P,Provincia de Formosa,"7,35",530162,"1,32"
AR-E,Provincia de Entre Ríos,"15,68",1235994,"3,08"
AR-D,Provincia de San Luis,"5,63",432310,"1,08"
AR-Y,Provincia de Jujuy,"12,65",880543,"1,68"
AR-N,Provincia de Misiones,"36,96",1101593,"2,75"
AR-T,Provincia de Tucumán,"64,29",2250301,"3,61"
AR-V,Provincia de Tierra del Fuego,"5,92",127205,"0,32"
