fecha,dia_inicio,dia_cuarentena,provincia,ciudad,tot_casosconf,nue_casosconf,tot_fallecidos,transmision_tipo,informe_tipo,fuente
2/03/2020,1,0,CABA,C_Indeterminada,1,1,0,importado,informe provincial,https://www.infobae.com/coronavirus/2020/03/03/confirmaron-el-primer-caso-de-coronavirus-en-la-argentina/
3/03/2020,2,0,Indeterminado,C_Indeterminada,1,0,0,importado,informe provincial,
4/03/2020,3,0,Indeterminado,C_Indeterminada,1,0,0,importado,informe provincial,
5/03/2020,4,0,Buenos Aires,C_Indeterminada,2,1,2,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/5-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
6/03/2020,5,0,Indeterminado,C_Indeterminada,2,0,2,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/6-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
7/03/2020,6,0,Indeterminado,C_Indeterminada,2,0,2,importado,informe provincial,
8/03/2020,7,0,Buenos Aires,C_Indeterminada,10,8,2,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/8-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
9/03/2020,8,0,CABA,C_Indeterminada,11,1,3,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
9/03/2020,8,0,San Luis,C_Indeterminada,13,2,3,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
9/03/2020,8,0,Chaco,C_Indeterminada,18,5,3,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
9/03/2020,8,0,Río Negro,C_Indeterminada,19,1,3,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
10/03/2020,9,0,Buenos Aires,C_Indeterminada,20,1,3,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/10-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
10/03/2020,9,0,CABA,C_Indeterminada,21,1,4,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/10-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
11/03/2020,10,0,Buenos Aires,C_Indeterminada,22,1,4,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/11-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
11/03/2020,10,0,CABA,C_Indeterminada,23,1,4,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/11-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
12/03/2020,8,0,CABA,C_Indeterminada,33,10,4,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/12-03-20-nuevo-coronavirus-covid-19_reporte-diario_0.pdf
13/03/2020,9,0,Buenos Aires,C_Indeterminada,34,1,4,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/13-03-20-reporte-diario-covid-19_0.pdf
13/03/2020,9,0,CABA,C_Indeterminada,36,2,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/13-03-20-reporte-diario-covid-19_0.pdf
14/03/2020,10,0,CABA,C_Indeterminada,47,11,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/14-03-20-reporte-diario-covid-19_0.pdf
14/03/2020,10,0,Santa Fe,Rosario,48,1,5,transmision comunitaria,informe provincial,
15/03/2020,11,0,CABA,C_Indeterminada,54,6,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/15032020-nuevo-coronavirus-covid-19_0.pdf
15/03/2020,11,0,Chaco,C_Indeterminada,58,4,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/15032020-nuevo-coronavirus-covid-19_0.pdf
15/03/2020,11,0,Tierra del Fuego,C_Indeterminada,59,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/15032020-nuevo-coronavirus-covid-19_0.pdf
15/03/2020,11,0,Buenos Aires,C_Indeterminada,60,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/15032020-nuevo-coronavirus-covid-19_0.pdf
16/03/2020,12,0,CABA,C_Indeterminada,65,5,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/16-03-20-reporte-diario-covid-19_0.pdf
16/03/2020,12,0,Chaco,C_Indeterminada,68,3,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/16-03-20-reporte-diario-covid-19_0.pdf
16/03/2020,12,0,Buenos Aires,C_Indeterminada,69,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/16-03-20-reporte-diario-covid-19_0.pdf
16/03/2020,12,0,Indeterminado,C_Indeterminada,69,0,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/16-03-20-reporte-diario-covid-19_0.pdf
17/03/2020,13,0,Buenos Aires,C_Indeterminada,70,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
17/03/2020,13,0,CABA,C_Indeterminada,74,4,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
17/03/2020,13,0,Córdoba,C_Indeterminada,76,2,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
17/03/2020,13,0,Chaco,C_Indeterminada,77,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
17/03/2020,13,0,Jujuy,C_Indeterminada,78,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
17/03/2020,13,0,Salta,C_Indeterminada,79,1,5,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
17/03/2020,13,0,Río Negro,C_Indeterminada,80,1,6,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/17-03-20_reporte_diario_covid-19.pdf
