total_pop,fecha,provincia,tot_casosconf,nue_casosconf
13827203,5/03/2020,Buenos Aires,2,1
13827203,8/03/2020,Buenos Aires,10,8
13827203,10/03/2020,Buenos Aires,20,1
13827203,11/03/2020,Buenos Aires,22,1
13827203,13/03/2020,Buenos Aires,34,1
13827203,15/03/2020,Buenos Aires,60,1
13827203,16/03/2020,Buenos Aires,69,1
13827203,17/03/2020,Buenos Aires,70,1
13827203,18/03/2020,Buenos Aires,99,6
13827203,19/03/2020,Buenos Aires,115,14
13827203,20/03/2020,Buenos Aires,149,9
13827203,21/03/2020,Buenos Aires,203,14
13827203,22/03/2020,Buenos Aires,246,8
13827203,23/03/2020,Buenos Aires,282,5
13827203,24/03/2020,Buenos Aires,361,29
13827203,25/03/2020,Buenos Aires,417,30
13827203,26/03/2020,Buenos Aires,561,27
13827203,27/03/2020,Buenos Aires,653,36
13827203,28/03/2020,Buenos Aires,700,8
13827203,29/03/2020,Buenos Aires,762,16
13827203,30/03/2020,Buenos Aires,857,36
13827203,31/03/2020,Buenos Aires,984,17
13827203,1/04/2020,Buenos Aires,1065,10
13827203,2/04/2020,Buenos Aires,1170,36
13827203,3/04/2020,Buenos Aires,1288,22
13827203,4/04/2020,Buenos Aires,1380,26
13827203,5/04/2020,Buenos Aires,1485,33
13827203,6/04/2020,Buenos Aires,1567,12
13827203,7/04/2020,Buenos Aires,1662,34
13827203,8/04/2020,Buenos Aires,1733,17
13827203,9/04/2020,Buenos Aires,1824,28
13827203,10/04/2020,Buenos Aires,1913,19
13827203,11/04/2020,Buenos Aires,2012,37
13827203,12/04/2020,Buenos Aires,2170,28
13827203,13/04/2020,Buenos Aires,2238,29
13827203,14/04/2020,Buenos Aires,2344,66
13827203,15/04/2020,Buenos Aires,2505,62
13827203,16/04/2020,Buenos Aires,2601,30
13827203,17/04/2020,Buenos Aires,2704,34
13827203,18/04/2020,Buenos Aires,2790,31
13827203,19/04/2020,Buenos Aires,2888,48
13827203,20/04/2020,Buenos Aires,2983,42
13827203,21/04/2020,Buenos Aires,3092,61
13827203,22/04/2020,Buenos Aires,3205,61
13827203,23/04/2020,Buenos Aires,3371,84
13827203,24/04/2020,Buenos Aires,3495,61
13827203,25/04/2020,Buenos Aires,3701,94
13827203,26/04/2020,Buenos Aires,3837,56
13827203,27/04/2020,Buenos Aires,3942,50
13827203,28/04/2020,Buenos Aires,4051,48
13827203,29/04/2020,Buenos Aires,4230,103
13827203,30/04/2020,Buenos Aires,4351,66
13827203,1/05/2020,Buenos Aires,4461,34
13827203,2/05/2020,Buenos Aires,4634,45
13827203,3/05/2020,Buenos Aires,4766,38
13827203,4/05/2020,Buenos Aires,4820,38
13827203,5/05/2020,Buenos Aires,4944,58
13827203,6/05/2020,Buenos Aires,5083,63
13827203,7/05/2020,Buenos Aires,5258,50
13827203,8/05/2020,Buenos Aires,5448,77
13827203,9/05/2020,Buenos Aires,5671,60
13827203,10/05/2020,Buenos Aires,5827,51
13827203,11/05/2020,Buenos Aires,6078,44
13827203,12/05/2020,Buenos Aires,6358,80
13827203,13/05/2020,Buenos Aires,6659,96
13827203,14/05/2020,Buenos Aires,6957,79
13827203,15/05/2020,Buenos Aires,7219,86
13827203,16/05/2020,Buenos Aires,7575,97
13827203,17/05/2020,Buenos Aires,7879,74
13827203,18/05/2020,Buenos Aires,8161,93
13827203,19/05/2020,Buenos Aires,8528,157
13827203,20/05/2020,Buenos Aires,8987,178
13827203,21/05/2020,Buenos Aires,9498,213
13827203,22/05/2020,Buenos Aires,10196,266
13827203,23/05/2020,Buenos Aires,10937,289
13827203,24/05/2020,Buenos Aires,11548,196
13827203,25/05/2020,Buenos Aires,12234,159
13827203,26/05/2020,Buenos Aires,12863,236
13827203,27/05/2020,Buenos Aires,13541,315
13827203,28/05/2020,Buenos Aires,14231,299
13827203,29/05/2020,Buenos Aires,14974,273
13827203,30/05/2020,Buenos Aires,15715,296
13827203,31/05/2020,Buenos Aires,16468,254
13827203,1/06/2020,Buenos Aires,17103,252
13827203,2/06/2020,Buenos Aires,17903,488
13827203,3/06/2020,Buenos Aires,18761,442
13827203,4/06/2020,Buenos Aires,19690,422
13827203,5/06/2020,Buenos Aires,20568,371
13827203,6/06/2020,Buenos Aires,21495,458
13827203,7/06/2020,Buenos Aires,22395,375
13827203,8/06/2020,Buenos Aires,23139,345
13827203,9/06/2020,Buenos Aires,24166,545
13827203,10/06/2020,Buenos Aires,25385,622
13827203,11/06/2020,Buenos Aires,26744,756
13827203,12/06/2020,Buenos Aires,28118,744
13827203,13/06/2020,Buenos Aires,29614,849
13827203,14/06/2020,Buenos Aires,30931,636
13827203,15/06/2020,Buenos Aires,32129,552
13827203,16/06/2020,Buenos Aires,33582,797
13827203,17/06/2020,Buenos Aires,34958,799
13827203,18/06/2020,Buenos Aires,36659,1107
13827203,19/06/2020,Buenos Aires,38628,1118
13827203,20/06/2020,Buenos Aires,40584,1014
13827203,21/06/2020,Buenos Aires,41950,746
13827203,22/06/2020,Buenos Aires,43822,1037
13827203,23/06/2020,Buenos Aires,46265,1334
13827203,24/06/2020,Buenos Aires,48679,1463
13827203,25/06/2020,Buenos Aires,51333,1482
13827203,26/06/2020,Buenos Aires,54149,1692
13827203,27/06/2020,Buenos Aires,56767,1424
13827203,28/06/2020,Buenos Aires,58969,1225
13827203,29/06/2020,Buenos Aires,61212,1279
13827203,30/06/2020,Buenos Aires,63642,1374
13827203,1/07/2020,Buenos Aires,66202,1672
13827203,2/07/2020,Buenos Aires,68930,1733
13827203,3/07/2020,Buenos Aires,71790,1849
13827203,4/07/2020,Buenos Aires,74302,1516
13827203,5/07/2020,Buenos Aires,76940,1564
13827203,6/07/2020,Buenos Aires,79291,1476
13827203,7/07/2020,Buenos Aires,82199,1752
13827203,8/07/2020,Buenos Aires,85648,2222
13827203,9/07/2020,Buenos Aires,89402,2372
13827203,10/07/2020,Buenos Aires,92811,2118
2776138,2/03/2020,CABA,1,1
2776138,9/03/2020,CABA,11,1
2776138,10/03/2020,CABA,21,1
2776138,11/03/2020,CABA,23,1
2776138,12/03/2020,CABA,33,10
